FID	IID	COVARIATE1	COVARIATE2	COVARIATE3
HCB181	1	37.8684271126986	26.3234811768073	4
HCB182	1	42.0667507685721	17.5136851150067	5
HCB183	1	37.4400608474389	17.0815138582996	6
HCB184	1	53.3442242769524	20.8860689414959	4
HCB185	1	82.3739746352658	18.4402049737569	5
HCB186	1	56.5130213974044	24.1069974348297	4
HCB187	1	49.1210651351139	21.805449939106	6
HCB188	1	91.1936239805073	11.5260016692945	6
HCB189	1	72.8202554630116	22.0684558019646	4
HCB190	1	64.8596358252689	26.5107711530158	6
HCB191	1	76.7050426453352	17.1092031910895	4
HCB192	1	6.03636098094285	28.1994938787839	7
HCB193	1	0.04726592451334	17.0558412277643	5
HCB194	1	34.6617014147341	19.5345000050022	5
HCB195	1	87.5723793171346	24.8643538292255	2
HCB196	1	90.4048383003101	19.1484105013647	5
HCB197	1	57.1140034357086	18.5368927541161	6
HCB198	1	35.8302980894223	22.6349414204834	5
HCB199	1	8.38303917553276	19.6695834538102	5
HCB200	1	82.0856876438484	22.0628286336853	6
HCB201	1	2.4860528530553	21.383980363504	5
HCB202	1	99.402514169924	23.8094642973369	5
HCB203	1	99.1904227994382	19.1508745514743	5
HCB204	1	80.5510785197839	25.1349653657238	6
HCB205	1	17.383335554041	23.6868752172661	6
HCB206	1	80.0711544463411	22.534013340055	3
HCB207	1	94.314559455961	12.0078856653579	3
HCB208	1	42.553908447735	19.7307662043665	7
HCB209	1	31.1884195078164	26.3015586171467	3
HCB210	1	61.0774621367455	26.940832329524	4
HCB211	1	70.8620590390638	14.8008583013055	5
HCB212	1	5.71965826675296	25.0973515650711	5
HCB213	1	13.4884169092402	19.6555026001845	6
HCB214	1	9.45433001033962	21.3277035278196	5
HCB215	1	62.3342353152111	17.1248809464303	6
HCB216	1	97.9070282541215	16.7167584838585	5
HCB217	1	80.1230469252914	14.81168300136	4
HCB218	1	73.7460887990892	20.0138729284794	7
HCB219	1	70.0680604903027	21.75900741367	7
HCB220	1	8.24166557285935	16.2241943396588	3
HCB221	1	44.6314610540867	18.1966856362889	3
HCB222	1	-9	25.1368791812162	6
HCB223	1	18.5688519850373	24.4349381096476	0
HCB224	1	69.8236252879724	29.79037254796	6
HCB225	1	3.90249581541866	17.8830211543294	4
JPT226	1	81.0834113741294	14.5571453481232	3
JPT227	1	98.7037919927388	16.7954446347127	5
JPT228	1	73.4249209053814	14.545322549632	8
JPT229	1	4.72125273663551	14.3746807579563	2
JPT230	1	18.8117360696197	27.2290984109626	8
JPT231	1	46.4042247040197	17.7441294947549	8
JPT232	1	0.265243253670633	16.3485559304486	5
JPT233	1	23.3409422449768	21.5639055160493	7
JPT234	1	13.7188964290544	21.1633667212585	5
JPT235	1	45.1281985035166	22.4316006049289	7
JPT236	1	81.3311201054603	12.1913464553899	6
JPT237	1	73.0287039652467	24.7196088276551	4
JPT238	1	56.8883985513821	21.0367329056116	7
JPT239	1	16.0684803966433	20.7455741529959	6
JPT240	1	35.4651235276833	22.1698987493708	5
JPT241	1	94.4072308950126	23.6694846373054	3
JPT242	1	3.20177958346903	12.7331396136421	7
JPT243	1	2.32916097156703	11.154582771068	6
JPT244	1	54.1375411208719	26.3711863646585	4
JPT245	1	59.7632047953084	17.536950872754	4
JPT246	1	80.5851632729173	21.6525714359184	5
JPT247	1	6.41330818179995	22.35062032811	6
JPT248	1	70.4081015661359	19.4257952182558	4
JPT249	1	83.7528191274032	18.2026785350233	5
JPT250	1	69.295754423365	29.8301871393359	4
JPT251	1	8.10686559416354	23.7527524596939	4
JPT252	1	47.8568806545809	17.0375480906359	4
JPT253	1	86.4921981701627	18.6776803959861	7
JPT254	1	78.0791791621596	31.951087351752	3
JPT255	1	19.0823359414935	31.2940734855249	7
JPT256	1	80.881541618146	20.7971767402239	7
JPT257	1	74.1407449590042	18.389268459811	6
JPT258	1	87.4806966399774	13.5184879363286	5
JPT259	1	97.2402036888525	28.0161844357702	3
JPT260	1	20.2481967862695	26.922540146961	5
JPT261	1	95.3617874300107	13.6970766807415	4
JPT262	1	37.2344817267731	22.3069846192269	5
JPT263	1	32.1993923280388	13.2729152756833	5
JPT264	1	28.060114569962	18.1215307137952	4
JPT265	1	65.1363966288045	24.0153780021733	4
JPT266	1	36.1168497474864	25.6845482952544	7
JPT267	1	95.7439844263718	18.5024757453562	7
JPT268	1	27.028707973659	25.6273891824836	2
JPT269	1	80.8746400522068	31.1505971516202	5
